rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
130,Frances Tiafoe,United States,USA,1785,36,2019-05-13,0,0,1962
131,Nicolas Kicker,Argentina,ARG,1784,92,2017-07-31,0,0,1841
132,Samuel Groth,Australia,AUS,1784,58,2015-09-25,0,0,1898
133,Rajeev Ram,United States,USA,1782,80,2016-04-11,0,0,1849
134,Stefanos Tsitsipas,Greece,GRE,1782,6,2020-10-12,0,0,2208
135,Lukas Lacko,Slovakia,SVK,1781,60,2012-02-06,0,0,1886
136,Laslo Djere,Serbia,SRB,1780,55,2019-06-10,0,0,1913
137,Alexander Bublik,Kazakhstan,KAZ,1780,44,2021-04-12,0,0,1937
138,Santiago Giraldo,Colombia,COL,1778,32,2014-05-11,0,0,1970
139,Thiemo De Bakker,Netherlands,NED,1776,46,2010-09-24,0,0,1945
140,Frederik Nielsen,Denmark,DEN,1776,122,2017-05-08,0,0,1789
141,Illya Marchenko,Ukraine,UKR,1775,71,2016-01-18,0,0,1865
142,Taro Daniel,Japan,JPN,1773,77,2018-08-27,0,0,1882
143,Marcel Granollers,Spain,ESP,1771,29,2013-11-04,0,0,2004
144,Daniel Brands,Germany,GER,1768,55,2013-07-29,0,-1,1921
145,Marsel Ilhan,Turkey,TUR,1765,98,2015-07-24,0,0,1822
146,Grega Zemlja,Slovenia,SLO,1765,56,2013-07-08,0,0,1901
147,Ilya Ivashka,Belarus,BLR,1764,108,2019-02-18,0,-1,1815
148,Renzo Olivo,Argentina,ARG,1763,108,2016-02-15,0,0,1805
149,Ramkumar Ramanathan,India,IND,1759,116,2018-07-23,0,0,1808
150,Kenny De Schepper,France,FRA,1758,114,2013-07-08,0,0,1792
151,Roberto Carballes Baena,Spain,ESP,1757,81,2020-10-12,0,-1,1854
152,Ernesto Escobedo,United States,USA,1752,102,2017-04-17,0,0,1815
153,Teymuraz Gabashvili,Russian Federation,RUS,1746,55,2016-01-18,0,0,1910
154,Stephane Robert,France,FRA,1745,64,2010-04-04,0,0,1872
