,Player1,Player2,Outcome
4464,Grigor Dimitrov,Hyeon Chung,1
4466,Pablo Carreno Busta,Kyle Edmund,1
4467,Denis Istomin,Novak Djokovic,1
4469,Mischa Zverev,Malek Jaziri,1
4470,Tomas Berdych,Roger Federer,-1
4476,Gael Monfils,Philipp Kohlschreiber,1
4477,Alexander Zverev,Rafael Nadal,1
4479,Gilles Simon,Milos Raonic,1
4480,Dominic Thiem,Benoit Paire,1
4481,Ivo Karlovic,David Goffin,-1
4482,Grigor Dimitrov,Richard Gasquet,1
4483,Pablo Carreno Busta,Denis Istomin,1
4485,Roger Federer,Kei Nishikori,1
4486,Stan Wawrinka,Andreas Seppi,1
4488,Gael Monfils,Rafael Nadal,1
4489,Roberto Bautista Agut,Milos Raonic,1
4490,Dominic Thiem,David Goffin,1
4491,Grigor Dimitrov,Denis Istomin,1
4492,Mischa Zverev,Roger Federer,-1
4494,Rafael Nadal,Milos Raonic,1
4495,David Goffin,Grigor Dimitrov,-1
4496,Roger Federer,Stan Wawrinka,1
4497,Rafael Nadal,Grigor Dimitrov,1
4498,Roger Federer,Rafael Nadal,1
4621,Guido Pella,Juan Martin Del Potro,-1
4622,John Isner,Jordan Thompson,1
4623,Karen Khachanov,Nicolas Jarry,1
4624,Jan Lennard Struff,Tomas Berdych,1
4625,Alexander Zverev,Fernando Verdasco,1
4629,Sam Querrey,Hyeon Chung,1
4631,Radu Albot,Jeremy Chardy,-1
4633,Stan Wawrinka,Jozef Kovalik,1
4635,Frances Tiafoe,Fabio Fognini,1
4642,Kevin Anderson,Malek Jaziri,-1
4643,Philipp Kohlschreiber,Nick Kyrgios,-1
4646,Ernests Gulbis,Marin Cilic,-1
4656,Aljaz Bedene,Ryan Harrison,1
4657,Mikhail Kukushkin,Tennys Sandgren,1
4658,John Millman,Roberto Bautista Agut,1
4659,Gilles Simon,Nikoloz Basilashvili,1
4661,Robin Haase,Alex De Minaur,1
4662,Benoit Paire,Rafael Nadal,-1
4663,Dominic Thiem,Bernard Tomic,1
4667,Ivo Karlovic,Stefanos Tsitsipas,1
4677,Marcel Granollers,Novak Djokovic,-1
4681,Karen Khachanov,Tomas Berdych,1
4682,Fernando Verdasco,Pierre Hugues Herbert,1
4684,Hyeon Chung,Denis Istomin,1
4685,Jeremy Chardy,Kei Nishikori,-1
4687,Andreas Seppi,Fabio Fognini,-1
4691,Kevin Anderson,Nick Kyrgios,1
4696,Pablo Carreno Busta,Taro Daniel,1
4698,Jiri Vesely,Aljaz Bedene,1
4699,Mikhail Kukushkin,Roberto Bautista Agut,1
4701,Robin Haase,Rafael Nadal,-1
4703,Borna Coric,Steve Johnson,1
4709,Joao Sousa,Novak Djokovic,-1
4711,John Isner,Karen Khachanov,1
4712,Fernando Verdasco,Pablo Cuevas,1
4713,Hyeon Chung,Kei Nishikori,1
4714,Stan Wawrinka,Fabio Fognini,1
4715,Richard Gasquet,Gael Monfils,1
4716,Kyle Edmund,Kevin Anderson,1
4717,Feliciano Lopez,Marin Cilic,-1
4719,Pablo Carreno Busta,Grigor Dimitrov,1
4720,Jiri Vesely,Roberto Bautista Agut,-1
4721,Nikoloz Basilashvili,Rafael Nadal,-1
4722,Dominic Thiem,Steve Johnson,1
4727,Fernando Verdasco,Kei Nishikori,1
4728,Stan Wawrinka,Gael Monfils,1
4729,Kevin Anderson,Marin Cilic,-1
4730,Milos Raonic,Pablo Carreno Busta,1
4731,Roberto Bautista Agut,Rafael Nadal,-1
4735,Stan Wawrinka,Marin Cilic,1
4736,Pablo Carreno Busta,Rafael Nadal,-1
4737,Dominic Thiem,Novak Djokovic,1
4739,Rafael Nadal,Dominic Thiem,1
4740,Stan Wawrinka,Rafael Nadal,-1
4860,Rafael Nadal,Dusan Lajovic,1
4862,Leonardo Mayer,Richard Gasquet,1
4863,Ryan Harrison,Tomas Berdych,-1
4865,Jeremy Chardy,Gael Monfils,-1
4867,Roger Federer,Frances Tiafoe,1
4869,John Millman,Nick Kyrgios,1
4873,Sam Querrey,Gilles Simon,1
4876,Pierre Hugues Herbert,John Isner,1
4883,Kyle Edmund,Robin Haase,1
4886,Tennys Sandgren,Marin Cilic,1
4887,Rafael Nadal,Taro Daniel,1
4891,David Goffin,Guido Pella,1
4893,Andrey Rublev,Grigor Dimitrov,1
4895,Fernando Verdasco,Feliciano Lopez,1
4897,Malek Jaziri,John Millman,-1
4902,Hyeon Chung,John Isner,-1
4903,Borna Coric,Alexander Zverev,1
4905,Steve Johnson,Kyle Edmund,-1
4908,Rafael Nadal,Leonardo Mayer,1
4910,David Goffin,Gael Monfils,1
4911,Damir Dzumhur,Andrey Rublev,1
4912,Roger Federer,Feliciano Lopez,1
4913,Philipp Kohlschreiber,John Millman,1
4915,Adrian Mannarino,Dominic Thiem,-1
4916,Sam Querrey,Radu Albot,1
4917,Mischa Zverev,John Isner,1
4919,Kevin Anderson,Borna Coric,1
4920,Denis Shapovalov,Kyle Edmund,1
4922,Lucas Pouille,Mikhail Kukushkin,1
4925,David Goffin,Andrey Rublev,-1
4926,Roger Federer,Philipp Kohlschreiber,1
4928,Sam Querrey,Mischa Zverev,1
4930,Denis Shapovalov,Pablo Carreno Busta,-1
4932,Rafael Nadal,Andrey Rublev,1
4934,Sam Querrey,Kevin Anderson,1
4937,Kevin Anderson,Pablo Carreno Busta,1
4938,Rafael Nadal,Kevin Anderson,1
5029,Nick Kyrgios,Pierre Hugues Herbert,-1
5032,Malek Jaziri,Lucas Pouille,1
5037,Fernando Verdasco,Kevin Anderson,1
5040,Daniil Medvedev,Stan Wawrinka,1
5041,Rafael Nadal,John Millman,1
5045,Ivo Karlovic,Aljaz Bedene,1
5049,Kei Nishikori,Marco Cecchinato,1
5051,Peter Gojowczyk,Marius Copil,1
5056,Philipp Kohlschreiber,Marin Cilic,-1
5057,Milos Raonic,Jan Lennard Struff,1
5063,Robin Haase,Frances Tiafoe,1
5064,Evgeny Donskoy,Alexander Zverev,-1
5069,Mischa Zverev,Bernard Tomic,1
5070,Mikhail Kukushkin,Taro Daniel,1
5071,Stefanos Tsitsipas,Dusan Lajovic,-1
5073,Dominic Thiem,Vasek Pospisil,1
5074,Gilles Simon,Nicolas Jarry,1
5079,Borna Coric,Ryan Harrison,-1
5080,Jeremy Chardy,Tomas Berdych,1
5084,Adrian Mannarino,Feliciano Lopez,1
5088,Martin Klizan,Novak Djokovic,-1
5090,Jiri Vesely,Fabio Fognini,-1
5091,Pierre Hugues Herbert,Benoit Paire,-1
5094,Nikoloz Basilashvili,Sam Querrey,1
5095,Kevin Anderson,Andreas Seppi,1
5099,Aljaz Bedene,Damir Dzumhur,1
5102,Peter Gojowczyk,Roberto Bautista Agut,1
5103,Steve Johnson,Radu Albot,1
5108,Frances Tiafoe,Alexander Zverev,-1
5111,Mischa Zverev,Mikhail Kukushkin,1
5112,Dusan Lajovic,Roger Federer,-1
5113,Dominic Thiem,Gilles Simon,1
5116,Ryan Harrison,Tomas Berdych,1
5117,Gael Monfils,Kyle Edmund,1
5119,Juan Martin Del Potro,Ernests Gulbis,-1
5125,Rafael Nadal,Karen Khachanov,1
5127,Kei Nishikori,Roberto Bautista Agut,1
5128,Steve Johnson,Marin Cilic,-1
5132,Mischa Zverev,Roger Federer,-1
5135,Gael Monfils,Adrian Mannarino,1
5136,Ernests Gulbis,Novak Djokovic,-1
5138,Sam Querrey,Kevin Anderson,1
5140,Roberto Bautista Agut,Marin Cilic,-1
5141,Milos Raonic,Alexander Zverev,1
5142,Grigor Dimitrov,Roger Federer,-1
5143,Dominic Thiem,Tomas Berdych,1
5144,Adrian Mannarino,Novak Djokovic,-1
5147,Milos Raonic,Roger Federer,-1
5148,Tomas Berdych,Novak Djokovic,1
5149,Sam Querrey,Marin Cilic,1
5150,Roger Federer,Tomas Berdych,1
5151,Marin Cilic,Roger Federer,-1
