,Player1,Player2,Outcome
1560,Novak Djokovic,Philipp Kohlschreiber,1
1562,Rafael Nadal,Kei Nishikori,1
1567,Gilles Simon,Roger Federer,1
1571,Novak Djokovic,Rafael Nadal,1
1691,Guido Pella,Sam Querrey,1
1693,Albert Ramos,Bernard Tomic,1
1699,Ryan Harrison,Rafael Nadal,-1
1711,Denis Kudla,Tomas Berdych,-1
1713,Feliciano Lopez,Bradley Klahn,1
1714,Pablo Andujar,Milos Raonic,-1
1718,Adrian Mannarino,Sam Querrey,1
1721,John Isner,Gael Monfils,1
1724,Novak Djokovic,Joao Sousa,1
1729,Andreas Seppi,Denis Istomin,1
1733,Feliciano Lopez,Milos Raonic,1
1736,Roger Federer,Adrian Mannarino,1
1738,John Isner,Philipp Kohlschreiber,1
1740,Novak Djokovic,Marcel Granollers,1
1744,Richard Gasquet,Milos Raonic,1
1747,Philipp Kohlschreiber,Rafael Nadal,1
1753,Richard Gasquet,Rafael Nadal,-1
1754,Novak Djokovic,Rafael Nadal,1
1834,Ryan Harrison,Jeremy Chardy,1
1835,Gilles Simon,Feliciano Lopez,-1
1837,Richard Gasquet,Marcel Granollers,1
1838,Bernard Tomic,Sam Querrey,1
1839,Martin Klizan,Tomas Berdych,-1
1844,Albert Ramos,Juan Martin Del Potro,-1
1866,Kei Nishikori,Leonardo Mayer,1
1869,John Isner,Adrian Mannarino,-1
1880,Novak Djokovic,Jeremy Chardy,1
1882,Richard Gasquet,Bernard Tomic,1
1883,Kevin Anderson,Tomas Berdych,1
1890,Ernests Gulbis,Fernando Verdasco,-1
1895,Bernard Tomic,Tomas Berdych,1
1897,Andreas Seppi,Juan Martin Del Potro,-1
1901,Novak Djokovic,Tomas Berdych,1
1905,Novak Djokovic,Juan Martin Del Potro,1
1979,Rafael Nadal,Bernard Tomic,1
1981,Ryan Harrison,Gael Monfils,-1
1989,Marin Cilic,Marcel Granollers,1
2007,Benoit Paire,Nick Kyrgios,1
2008,Roberto Bautista Agut,Juan Martin Del Potro,1
2019,Matthew Ebden,Vasek Pospisil,1
2023,Sam Querrey,Ernests Gulbis,1
2025,Leonardo Mayer,Novak Djokovic,-1
2026,Rafael Nadal,Gael Monfils,1
2028,Milos Raonic,Grigor Dimitrov,1
2029,Benoit Paire,Roberto Bautista Agut,-1
2034,Tomas Berdych,Damir Dzumhur,1
2039,Fabio Fognini,Sam Querrey,1
2040,Denis Istomin,Novak Djokovic,-1
2041,Rafael Nadal,Kei Nishikori,1
2042,Grigor Dimitrov,Roberto Bautista Agut,1
2045,Tomas Berdych,Kevin Anderson,1
2048,Fabio Fognini,Novak Djokovic,-1
2049,Rafael Nadal,Grigor Dimitrov,1
2053,Rafael Nadal,Roger Federer,1
2143,Dusan Lajovic,Federico Delbonis,1
2145,Grigor Dimitrov,Ivo Karlovic,-1
2156,Damir Dzumhur,Feliciano Lopez,-1
2161,Richard Gasquet,Bernard Tomic,1
2163,Matthew Ebden,Pablo Cuevas,-1
2185,Milos Raonic,Nick Kyrgios,1
2192,Martin Klizan,Kei Nishikori,1
2197,Marin Cilic,Pablo Andujar,1
2200,Joao Sousa,Novak Djokovic,-1
2201,Rafael Nadal,Dominic Thiem,1
2214,Pablo Cuevas,Fernando Verdasco,1
2215,Philipp Kohlschreiber,Denis Istomin,1
2218,Benoit Paire,Roberto Bautista Agut,-1
2220,Mikhail Kukushkin,John Isner,-1
2225,Milos Raonic,Jiri Vesely,1
2228,Robin Haase,Martin Klizan,1
2232,Jeremy Chardy,Novak Djokovic,-1
2233,Rafael Nadal,Leonardo Mayer,1
2235,Ivo Karlovic,Kevin Anderson,-1
2238,Gael Monfils,Fabio Fognini,1
2239,Richard Gasquet,Fernando Verdasco,-1
2241,Tomas Berdych,Roberto Bautista Agut,1
2245,Milos Raonic,Gilles Simon,1
2246,Marcel Granollers,Martin Klizan,1
2248,Marin Cilic,Novak Djokovic,1
2249,Rafael Nadal,Dusan Lajovic,1
2253,Tomas Berdych,John Isner,1
2254,Ernests Gulbis,Roger Federer,1
2255,Milos Raonic,Marcel Granollers,1
2259,Tomas Berdych,Ernests Gulbis,-1
2260,Milos Raonic,Novak Djokovic,-1
2262,Ernests Gulbis,Novak Djokovic,1
2263,Rafael Nadal,Novak Djokovic,1
2400,Stan Wawrinka,Jiri Vesely,1
2407,Taro Daniel,Milos Raonic,-1
2415,Pablo Cuevas,Kevin Anderson,1
2416,Gilles Simon,Radu Albot,1
2420,Grigor Dimitrov,Ryan Harrison,1
2425,Denis Istomin,Richard Gasquet,-1
2434,Pablo Carreno Busta,Benoit Paire,1
2439,Nick Kyrgios,Andreas Seppi,1
2441,Kei Nishikori,Pablo Andujar,1
2442,Matthew Ebden,Leonardo Mayer,-1
2443,Peter Gojowczyk,Milos Raonic,1
2444,Tomas Berdych,Martin Klizan,1
2446,Dominic Thiem,Ernests Gulbis,1
2449,Gilles Simon,Federico Delbonis,1
2453,Fabio Fognini,Adrian Mannarino,-1
2456,Novak Djokovic,Sam Querrey,1
2457,Philipp Kohlschreiber,John Isner,1
2461,Kei Nishikori,Leonardo Mayer,1
2464,Feliciano Lopez,Dominic Thiem,-1
2465,Marin Cilic,Kevin Anderson,1
2467,Grigor Dimitrov,David Goffin,1
2468,Gael Monfils,Richard Gasquet,1
2469,Adrian Mannarino,Roberto Bautista Agut,-1
2470,Marcel Granollers,Roger Federer,1
2471,Novak Djokovic,Philipp Kohlschreiber,1
2474,Kei Nishikori,Milos Raonic,1
2475,Tomas Berdych,Dominic Thiem,1
2476,Marin Cilic,Gilles Simon,1
2477,Grigor Dimitrov,Gael Monfils,-1
2478,Roberto Bautista Agut,Roger Federer,-1
2480,Stan Wawrinka,Kei Nishikori,1
2481,Tomas Berdych,Marin Cilic,-1
2482,Gael Monfils,Roger Federer,1
2483,Novak Djokovic,Kei Nishikori,1
2484,Marin Cilic,Roger Federer,1
2485,Kei Nishikori,Marin Cilic,-1
2581,Robin Haase,Vasek Pospisil,1
2584,Bradley Klahn,Sam Querrey,1
