rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
86,Andreas Seppi,Italy,ITA,616,18,2013-01-28,0,0,1895
87,Radu Albot,"Moldova, Republic of",MDA,616,39,2019-08-05,0,0,1137
88,Laslo Djere,Serbia,SRB,612,27,2019-06-10,0,0,1335
89,Gilles Simon,France,FRA,610,6,2009-01-05,0,0,4170
90,Maximilian Marterer,Germany,GER,608,45,2018-08-13,0,0,1022
91,Stefanos Tsitsipas,Greece,GRE,606,5,2019-08-05,0,0,7040
92,Lukas Lacko,Slovakia,SVK,605,44,2013-01-14,0,0,917
93,Marius Copil,Romania,ROU,601,56,2019-01-28,0,0,888
94,Jordan Thompson,Australia,AUS,593,43,2019-07-15,0,0,1113
95,Nicolas Kicker,Argentina,ARG,590,78,2017-06-12,0,0,684
96,Tennys Sandgren,United States,USA,583,41,2019-01-14,0,0,1091
97,Blaz Kavcic,Slovenia,SLO,581,68,2012-08-06,0,0,685
98,Malek Jaziri,Tunisia,TUN,580,42,2019-01-07,0,0,1042
99,Taro Daniel,Japan,JPN,579,64,2018-08-27,0,0,834
100,Gerald Melzer,Austria,AUT,572,68,2016-11-21,0,0,728
