,Rafael Nadal,Roger Federer,Grigor Dimitrov,Alexander Zverev,Dominic Thiem,Marin Cilic,David Goffin,Jack Sock,Stan Wawrinka,Pablo Carreno Busta,Juan Martin Del Potro,Novak Djokovic,Sam Querrey,Kevin Anderson,Jo Wilfried Tsonga,Andy Murray,John Isner,Lucas Pouille,Tomas Berdych,Roberto Bautista Agut,Nick Kyrgios,Kei Nishikori,Albert Ramos,Milos Raonic,Gilles Muller,Diego Sebastian Schwartzman,Fabio Fognini,Adrian Mannarino,Philipp Kohlschreiber,Damir Dzumhur,Richard Gasquet,Pablo Cuevas,Mischa Zverev,Filip Krajinovic,Fernando Verdasco,Feliciano Lopez,David Ferrer,Alexandr Dolgopolov,Andrey Rublev,Yuichi Sugita,Benoit Paire,Robin Haase,Paolo Lorenzi,Steve Johnson,Karen Khachanov,Gael Monfils,Ryan Harrison,Borna Coric,Aljaz Bedene,Kyle Edmund,Denis Shapovalov,Leonardo Mayer,Jan Lennard Struff,Jared Donaldson,Viktor Troicki,Julien Benneteau,Joao Sousa,Hyeon Chung,Nikoloz Basilashvili,Peter Gojowczyk,Donald Young,Jiri Vesely,Denis Istomin,Guido Pella,Daniil Medvedev,Horacio Zeballos,Dudi Sela,Federico Delbonis,Florian Mayer,Guillermo Garcia Lopez,Yen Hsun Lu,Evgeny Donskoy,Thomas Fabbiano,Mikhail Kukushkin,Dusan Lajovic,Matthew Ebden,Steve Darcis,Jeremy Chardy,Frances Tiafoe,Ivo Karlovic,Pierre Hugues Herbert,Cedrik Marcel Stebe,Victor Estrella,Mikhail Youzhny,Marton Fucsovics,Andreas Seppi,Radu Albot,Laslo Djere,Gilles Simon,Maximilian Marterer,Stefanos Tsitsipas,Lukas Lacko,Marius Copil,Jordan Thompson,Nicolas Kicker,Tennys Sandgren,Blaz Kavcic,Malek Jaziri,Taro Daniel,Gerald Melzer
Nick Kyrgios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kei Nishikori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milos Raonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilles Muller,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Sebastian Schwartzman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabio Fognini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Mannarino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Kohlschreiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damir Dzumhur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
